City Council,RM,Toronto City Council,0
Audit Committee,AU,Committees Reporting to City Council,0
Board of Health,HL,Committees Reporting to City Council,2
Budget Committee,BU,Committees Reporting to City Council,0
Civic Appointments Committee,CA,Committees Reporting to City Council,0
Corporations Nominating Panel,NC,Committees Reporting to City Council,0
Economic and Community Development Committee,EC,Committees Reporting to City Council,0
Executive Committee,EX,Committees Reporting to City Council,0
General Government Committee,GG,Committees Reporting to City Council,0
Infrastructure and Environment Committee,IE,Committees Reporting to City Council,0
Planning and Housing Committee,PH,Committees Reporting to City Council,1
Striking Committee,ST,Committees Reporting to City Council,0
Etobicoke York Community Council,EY,Community Council,0
North York Community Council,NY,Community Council,0
Scarborough Community Council,SC,Community Council,0
Toronto and East York Community Council,TE,Community Council,0
Aboriginal Affairs Advisory Committee,AA,Other Boards and Committees,0
Bid Award Panel,BA,Other Boards and Committees,0
Board of Health - Budget Committee,HU,Other Boards and Committees,2
Board of Health - Performance Appraisal of the Medical Officer of Health,HP,Other Boards and Committees,2
Board of Health - Strategic Plan Development Committee,HX,Other Boards and Committees,2
Budget Subcommittee at City Hall,BV,Other Boards and Committees,0
Budget Subcommittee at Etobicoke Civic Centre,BZ,Other Boards and Committees,0
Budget Subcommittee at North York Civic Centre,BW,Other Boards and Committees,0
Budget Subcommittee at Scarborough Civic Centre,BX,Other Boards and Committees,0
City-School Boards Advisory Committee,TS,Other Boards and Committees,0
Compliance Audit Committee,EA,Other Boards and Committees,0
Confronting Anti-Black Racism Advisory Committee,CR,Other Boards and Committees,0
CreateTO,RA,Other Boards and Committees,0
CreateTO - Human Resources Committee,"",Other Boards and Committees,0
Dangerous Dog Review Tribunal,DG,Other Boards and Committees,0
Debenture Committee,DB,Other Boards and Committees,0
Exhibition Place,EP,Other Boards and Committees,0
FIFA World Cup 2026 Subcommittee,FWC,Other Boards and Committees,0
"Film, Television and Digital Media Advisory Board",FB,Other Boards and Committees,0
Housing Rights Advisory Committee,HS,Other Boards and Committees,1
Labour Relations Subcommittee,LR,Other Boards and Committees,0
Long-Term Care Committee of Management,LC,Other Boards and Committees,0
Members of the Toronto Atmospheric Fund,AF,Other Boards and Committees,0
Nominating Panel - Administrative Penalty Tribunal,NM,Other Boards and Committees,0
Nominating Panel - Committee of Adjustment,NA,Other Boards and Committees,0
Nominating Panel - Compliance Audit Committee,"",Other Boards and Committees,0
Nominating Panel - Dangerous Dog Review Tribunal,ND,Other Boards and Committees,0
Nominating Panel - Multi-Tenant House Licensing Tribunal,NH,Other Boards and Committees,1
Nominating Panel - Property Standards Committee,NP,Other Boards and Committees,0
Nominating Panel - Rooming House Licensing Commissioner and Deputy Commissioner,"",Other Boards and Committees,1
Nominating Panel - Sign Variance Committee,NS,Other Boards and Committees,0
Nominating Panel - Toronto Licensing Tribunal,NL,Other Boards and Committees,0
Nominating Panel - Toronto Local Appeal Body,XV,Other Boards and Committees,0
Property Standards - Etobicoke York Panel,SV,Other Boards and Committees,0
Property Standards - North York Panel,SY,Other Boards and Committees,0
Property Standards - Scarborough Panel,SX,Other Boards and Committees,0
Property Standards - Toronto and East York Panel,SZ,Other Boards and Committees,0
Property Standards Committee,PS,Other Boards and Committees,0
Service Excellence Committee,SE,Other Boards and Committees,0
Sign Variance Committee,SB,Other Boards and Committees,0
Subcommittee on Metrolinx's Ontario Line Construction,TM,Other Boards and Committees,0
TO Live,CT,Other Boards and Committees,0
"TO Live - Environmental, Social and Governance Committee",RG,Other Boards and Committees,0
TO Live - Finance and Audit Committee,RZ,Other Boards and Committees,0
TO Live - Human Resources and Stakeholder Relations Committee,RY,Other Boards and Committees,0
Toronto Accessibility Advisory Committee,DI,Other Boards and Committees,0
Toronto Atmospheric Fund,TA,Other Boards and Committees,0
Toronto Francophone Affairs Advisory Committee,FA,Other Boards and Committees,0
Toronto Investment Board,IB,Other Boards and Committees,0
Toronto Music Advisory Committee,MA,Other Boards and Committees,0
Toronto Parking Authority,PA,Other Boards and Committees,0
Toronto Parking Authority - Audit and Risk Management Committee,PR,Other Boards and Committees,0
Toronto Preservation Board,PB,Other Boards and Committees,0
Toronto Transit Commission,TTC,Other Boards and Committees,0
Toronto Transit Commission - Audit & Risk Management Committee,TTA,Other Boards and Committees,0
Toronto Transit Commission - Human Resources Committee,TTH,Other Boards and Committees,0
Toronto Transit Commission - Strategic Planning Committee,TTS,Other Boards and Committees,0
Toronto Zoo,ZB,Other Boards and Committees,0
Tribunals Nominating Panel,NZ,Other Boards and Committees,0
"Two-Spirit, Lesbian, Gay, Bisexual, Transgender and Queer Advisory Committee",QS,Other Boards and Committees,0
